Rank,Name,Industry,Revenue(in  ₹ Crore),Revenue growth,Profits(in  Crore),Headquarters,State Controlled
1,Indian Oil Corporation,Oil and gas,"4,24,321",13.20%,22189.00,New Delhi,Yes
2,Reliance Industries Limited,Oil and gas,"4,10,295",28.20%,36075.00,Mumbai,
3,Oil and Natural Gas Corporation,Oil and gas,"3,33,143",11.00%,22106.00,New Delhi,Yes
4,State Bank of India,Banking,"3,06,528",2.60%,"-4,556",Mumbai,Yes
5,Tata Motors,Automotive,"3,01,175",7.90%,8989.00,Mumbai,
6,Bharat Petroleum,Oil and gas,"2,38,638",13.70%,9009.00,Mumbai,Yes
7,Hindustan Petroleum,Oil and gas,"2,21,693",13.40%,7218.00,Mumbai,Yes
8,Rajesh Exports,Gems and jewellery,"1,87,748",22.50%,1266.00,Bangalore,
9,Tata Steel,Iron and steel,"1,47,192",25.30%,13434.00,Mumbai,
10,Coal India,Metals and mining,"1,32,897",5.30%,7020.00,Kolkata,Yes
11,Tata Consultancy Services,Infotech,"1,26,745",3.60%,25826.00,Mumbai,
12,Larsen & Toubro,Capital goods,"1,22,743",10.60%,7370.00,Mumbai,
13,Hindalco Industries,Metals and mining,"1,20,428",15.50%,6083.00,Mumbai,
14,ICICI Bank,Banking,"1,18,969",4.90%,7712.00,Mumbai,
15,Vedanta Resources,Metals and mining,"1,02,192",30.80%,10342.00,"London, UK",
16,HDFC Bank,Banking,"1,01,344",17.60%,18510.00,Mumbai,
17,Mahindra & Mahindra,Automotive,"96,377",12.20%,7510.00,Mumbai,
18,NTPC Limited,Utilities,"90,144",7.70%,10544.00,New Delhi,Yes
19,Bharti Airtel,Telecommunication,"86,704",13.00%,1099.00,New Delhi,
20,Maruti Suzuki India,Automotive,"81,978",15.60%,7880.00,New Delhi,
21,Infosys,Infotech,"73,762",3.10%,16029.00,Bangalore,
22,Nayara Energy,Oil and gas,"73,015",10.70%,576.00,Mumbai,
23,HDFC,Financials,"72,596",18.90%,16255.00,Mumbai,
24,JSW Steel Ltd,Iron and steel,"70,148",22.60%,6214.00,Mumbai,
25,Axis Bank,Banking,"58,477",1.50%,456.00,Mumbai,Yes
26,Steel Authority of India,Iron and steel,"57,626",28.80%,-281.00,New Delhi,Yes
27,Punjab National Bank,Banking,"57,608",0.70%,-12130.00,New Delhi,Yes
28,Grasim Industries,Diversified,"57,273",54.90%,2679.00,Mumbai,
29,Wipro,Infotech,"56,986",1.60%,8003.00,Bangalore,
30,Motherson Sumi Systems,Automotive,"56,839",32.70%,1597.00,Noida,
31,GAIL,Oil and gas,"55,503",11.60%,4799.00,New Delhi,Yes
32,Bank of Baroda,Banking,"54,048",3.10%,-1887.00,Vadodara,Yes
33,HCL Technologies,Infotech,"51,695",6.30%,8721.00,Noida,
34,MRPL,Oil and gas,"50,209",8.90%,1993.00,Mangalore,Yes
35,Canara Bank,Banking,"48,743",1.20%,-3951.00,Bangalore,Yes
36,ITC Limited,Consumer goods,"44,674",1.60%,11271.00,Kolkata,
37,Bank of India,Banking,"44,158",4.80%,-5961.00,Mumbai,Yes
38,General Insurance Corporation of India,Insurance,"43,555",38.90%,3146.00,Mumbai,Yes
39,Kotak Mahindra Bank,Banking,"38,813",14.20%,6201.00,Mumbai,
40,Union Bank of India,Banking,"38,413",0.40%,-5212.00,Mumbai,Yes
41,Hindustan Unilever,Consumer goods,"36,088",7.10%,5214.00,Mumbai,
42,Vodafone India,Telecommunication,"34,855",18.90%,7766.00,Mumbai,
43,Tata Power,Utilities,"33,213",12.80%,2477.00,Mumbai,
44,Chennai Petroleum Corporation,Oil and gas,"33,187",20.00%,927.00,Chennai,Yes
45,Hero MotoCorp,Automotive,"33,141",12.90%,3720.00,New Delhi,
46,Tech Mahindra,Infotech,"32,190",7.60%,3800.00,Pune,
47,UltraTech Cement,Cement,"32,106",23.70%,2222.00,Mumbai,
48,Petronet LNG,Oil and gas,"30,949",23.90%,2110.00,New Delhi,Yes
49,Power Grid Corporation of India,Utilities,"30,908",16.10%,8198.00,Gurgaon,Yes
50,Bajaj Finserv,Financials,"30,599",24.90%,2741.00,Pune,
